c	instance Type (null)
c
n	15
g	10
c	w1	w2	w3	w4	w5	w6	w7	w8	w9	w10	v1	v2	v3
i	0	7	0	14	0	14	0	7	14	7	14	7	7
i	17	1	12	17	0	13	4	13	12	20	9	11	11
i	8	7	16	4	13	6	15	13	13	5	18	0	13
i	14	12	8	19	16	0	10	12	12	11	3	12	7
i	0	11	6	10	4	15	16	5	6	9	16	20	3
i	18	20	7	17	13	0	6	16	13	2	9	3	16
i	18	15	4	3	2	16	15	8	7	2	6	14	15
i	20	11	8	13	11	7	17	13	9	16	16	12	1
i	20	11	7	12	10	7	17	13	9	16	16	11	0
i	13	14	16	9	11	12	9	19	12	15	14	19	9
i	8	14	11	8	7	6	5	19	19	14	11	5	11
i	12	14	12	20	9	5	8	16	14	16	3	9	18
i	9	17	10	4	13	4	11	20	20	4	2	6	19
i	12	16	0	14	1	11	1	5	4	1	4	6	7
i	11	10	17	1	13	12	1	7	12	10	11	14	5
c
c
W	90	90	67	83	62	64	68	93	88	74
c	end of file
