c	instance Type (null)
c
n	20
g	15
c	w1	w2	w3	w4	w5	w6	w7	w8	w9	w10	w11	w12	w13	w14	w15	v1	v2	v3
i	7	14	7	0	7	0	7	14	0	14	0	14	14	0	7	0	7	7
i	4	9	19	4	8	20	12	20	20	7	17	19	19	0	4	7	19	5
i	2	1	10	19	7	0	9	7	7	20	12	15	7	2	16	4	16	16
i	1	19	15	6	2	7	17	19	20	19	10	19	14	3	3	1	19	9
i	1	11	7	11	5	16	16	6	7	9	17	0	3	15	1	2	16	10
i	4	5	13	2	19	6	12	1	19	8	15	9	1	3	19	4	12	11
i	16	12	2	0	20	14	12	6	4	20	3	11	12	12	1	9	20	4
i	5	17	13	18	16	12	1	19	14	1	0	17	6	16	1	4	19	3
i	4	17	13	18	16	12	1	19	14	0	0	17	5	15	0	4	19	3
i	13	14	15	9	11	11	9	18	12	15	13	19	8	0	12	18	16	12
i	1	7	4	1	0	20	19	12	12	7	4	19	4	12	6	1	2	9
i	4	7	5	12	2	18	1	9	6	8	16	2	11	19	9	6	8	16
i	13	0	14	8	17	8	15	3	3	8	6	11	2	19	3	5	18	18
i	17	0	5	19	6	16	6	10	9	6	9	12	12	12	6	12	12	2
i	12	11	17	1	13	13	2	7	12	10	11	14	5	12	16	7	9	12
i	17	5	17	17	9	17	2	12	1	9	11	11	0	0	19	3	9	12
i	11	4	13	0	13	14	3	16	1	3	8	16	0	20	10	6	8	3
i	12	13	1	4	18	20	14	6	2	10	2	10	6	2	10	19	3	9
i	5	0	11	7	1	20	20	8	0	12	13	0	18	18	10	1	0	4
i	10	1	12	3	6	10	7	2	7	3	5	13	5	11	10	3	16	13
c
c
W	80	84	107	80	98	127	93	107	85	95	86	124	76	96	82
c	end of file
