c	instance Type (null)
c
n	25
g	2
c	w1	w2	v1	v2	v3
i	40	52	7	93	56
i	4	94	90	3	99
i	96	100	51	24	18
i	22	21	56	49	46
i	84	88	100	78	62
i	93	57	22	12	89
i	48	5	8	55	32
i	63	94	67	54	7
i	28	79	77	74	32
i	57	96	47	94	48
i	18	76	91	44	40
i	73	90	100	61	31
i	24	38	74	38	42
i	41	66	15	19	96
i	12	4	67	28	80
i	52	77	28	60	7
i	83	98	91	33	86
i	34	98	48	90	39
i	18	76	91	44	40
i	90	35	47	52	64
i	28	94	23	38	100
i	70	57	63	15	75
i	79	100	61	63	27
i	53	60	72	23	15
i	66	15	54	76	68
c
c
W	638	835
c	end of file
