c	instance Type (null)
c
n	25
g	3
c	w1	w2	w3	v1	v2	v3
i	30	42	97	97	83	46
i	11	1	97	21	10	6
i	15	19	70	33	43	37
i	78	77	12	99	5	2
i	45	49	14	45	39	76
i	81	92	10	1	47	24
i	87	44	47	51	47	24
i	14	45	71	43	5	58
i	29	80	31	3	28	33
i	85	24	22	60	69	23
i	49	7	22	18	75	71
i	84	48	11	19	72	42
i	91	52	41	95	52	56
i	40	12	61	89	18	95
i	61	6	69	55	77	82
i	23	48	99	36	31	78
i	64	79	72	62	14	67
i	17	81	31	13	20	69
i	49	7	22	18	75	71
i	42	87	52	61	57	16
i	75	94	70	94	38	100
i	44	31	37	44	89	49
i	82	56	64	28	66	30
i	88	95	7	4	58	50
i	93	42	81	5	3	95
c
c
W	689	609	605
c	end of file
