c	instance Type (null)
c
n	25
g	4
c	w1	w2	w3	w4	v1	v2	v3
i	15	27	82	24	82	68	31
i	88	78	74	32	98	87	83
i	28	32	83	58	46	56	50
i	55	7	42	11	29	35	32
i	23	27	92	22	23	17	54
i	11	22	40	59	31	30	54
i	1	58	61	13	12	61	85
i	14	45	18	94	43	5	5
i	4	55	53	52	78	50	8
i	54	93	91	34	29	38	92
i	48	6	21	53	64	74	17
i	87	4	14	7	75	75	45
i	37	51	87	5	41	98	2
i	44	69	18	58	93	22	99
i	40	85	95	52	34	56	61
i	69	41	92	60	29	24	71
i	59	74	67	90	57	9	62
i	59	23	26	47	8	15	64
i	48	6	21	53	64	74	17
i	43	88	53	7	62	58	17
i	33	52	28	79	52	96	58
i	49	36	89	11	49	41	1
i	99	20	81	67	92	83	94
i	97	4	16	47	13	67	59
i	79	28	67	40	91	89	81
c
c
W	592	516	706	538
c	end of file
