c	instance Type (null)
c
n	50
g	1
c	w1	v1	v2	v3
i	27	47	73	11
i	67	7	41	72
i	7	9	25	85
i	92	69	1	68
i	89	54	84	58
i	88	59	26	45
i	23	71	37	39
i	96	24	34	5
i	59	87	54	55
i	22	45	82	84
i	20	96	49	98
i	60	42	38	2
i	50	13	20	85
i	28	26	92	73
i	50	43	18	29
i	50	89	39	95
i	25	75	85	22
i	76	34	85	24
i	20	43	49	98
i	59	82	71	85
i	78	59	9	53
i	40	46	70	88
i	47	31	33	99
i	33	24	90	71
i	33	12	54	31
i	37	70	19	95
i	43	40	29	54
i	31	52	75	46
i	59	67	4	43
i	87	36	12	74
i	41	37	24	65
i	67	14	66	28
i	38	5	78	63
i	37	65	45	29
i	61	88	71	36
i	58	88	12	17
i	84	17	65	17
i	75	90	21	65
i	71	20	20	55
i	66	60	72	22
i	16	100	52	7
i	39	97	95	92
i	96	73	86	20
i	41	17	73	22
i	57	92	47	3
i	6	74	39	28
i	66	86	69	87
i	15	44	89	26
i	20	31	3	76
i	62	25	46	79
c
c
W	1256
c	end of file
