c	instance Type (null)
c
n	50
g	1
c	w1	v1	v2	v3	v4
i	50	17	3	66	7
i	86	96	85	81	34
i	52	23	33	27	45
i	4	25	31	28	57
i	32	79	26	10	11
i	24	44	43	67	11
i	74	85	81	58	1
i	63	92	54	7	4
i	78	52	24	82	14
i	64	39	48	2	25
i	54	70	80	23	82
i	71	6	59	29	76
i	9	66	23	27	78
i	54	56	32	9	73
i	75	69	91	96	54
i	90	3	98	45	92
i	53	4	3	56	87
i	4	53	60	9	89
i	54	70	80	23	82
i	56	22	18	30	16
i	54	73	17	79	72
i	53	53	98	5	88
i	3	96	87	98	53
i	47	10	17	9	56
i	91	3	1	46	87
i	100	43	72	42	79
i	71	37	54	7	39
i	4	86	53	42	27
i	45	17	82	14	73
i	21	14	4	34	34
i	21	77	15	97	52
i	76	40	3	15	25
i	69	76	73	44	26
i	35	9	59	43	35
i	5	73	73	30	20
i	87	89	64	28	16
i	5	68	44	25	61
i	84	11	69	47	53
i	72	64	82	35	45
i	15	45	57	59	9
i	48	10	20	10	51
i	70	95	15	64	80
i	33	24	34	56	69
i	93	67	45	59	46
i	53	2	49	7	80
i	87	79	68	18	89
i	48	80	58	80	3
i	20	90	45	62	27
i	96	92	96	40	94
i	38	31	50	21	75
c
c
W	1296
c	end of file
